name,size,width,height,aspect,long_side,sharpness,brightness,contrast,score
IMG_0363.JPEG,2197058,2048,1536,1.3333,2048,9929.34,116.05,69.32,13106.73
IMG_0124-1.JPEG,1964089,2048,1536,1.3333,2048,7696.39,123.47,59.2,10159.24
IMG_0120.JPEG,1974502,2048,1536,1.3333,2048,7427.7,121.25,66.66,9804.56
IMG_0123.JPEG,1732094,2048,1536,1.3333,2048,6049.22,118.76,57.75,7984.97
IMG_0924.JPG,6174641,4032,3024,1.3333,4032,4970.05,129.49,68.56,7872.56
IMG_0137.JPEG,1779938,1330,2364,0.5626,2364,7110.84,120.22,65.4,7821.92
IMG_1414.JPEG,1683644,2364,1330,1.7774,2364,5859.67,127.61,58.87,7734.77
IMG_0327.JPEG,1464308,2048,1536,1.3333,2048,5808.86,131.8,58.41,7667.69
IMG_0936.JPG,5006158,4032,3024,1.3333,4032,4784.4,103.81,68.17,7578.49
IMG_2119.JPEG,1553924,2364,1330,1.7774,2364,5714.77,133.71,53.81,7543.5
IMG_0056.JPEG,1744415,1330,2364,0.5626,2364,6531.98,110.46,62.92,7185.18
IMG_0039.jpeg,1800897,1536,2049,0.7496,2049,6458.98,124.39,58.36,7104.88
IMG_0055.JPEG,1780344,1330,2364,0.5626,2364,6453.36,98.09,65.49,7098.69
IMG_0050.jpeg,1496566,1536,2049,0.7496,2049,6248.55,115.58,67.66,6873.4
IMG_9929.jpeg,1725951,1536,2048,0.75,2048,6237.33,138.62,68.54,6861.06
IMG_0925.JPG,5652438,4032,3024,1.3333,4032,4248.11,129.88,71.73,6729.01
IMG_7424.JPEG,4352803,4032,2268,1.7778,4032,4243.41,130.05,62.2,6721.57
IMG_0923.JPG,5556083,4032,3024,1.3333,4032,4215.07,115.31,67.12,6676.68
IMG_9669.jpeg,1304802,2048,1536,1.3333,2048,5022.83,119.47,61.98,6630.14
IMG_0062.jpeg,1407472,2049,1537,1.3331,2049,4843.56,109.76,67.65,6393.5
IMG_0036.jpeg,1521933,1536,2049,0.7496,2049,5793.61,130.06,66.95,6372.97
IMG_1301.JPEG,1625181,1330,2364,0.5626,2364,5625.8,129.97,50.43,6188.38
IMG_1375.JPEG,1284693,1330,2364,0.5626,2364,5530.15,127.72,47.68,6083.17
IMG_1443.JPEG,1590555,1330,2364,0.5626,2364,5428.23,112.94,70.99,5971.05
IMG_0068.JPEG,1138440,2364,1330,1.7774,2364,4479.36,130.12,60.89,5912.75
IMG_3659.JPEG,1524891,1330,2364,0.5626,2364,5333.26,134.62,51.88,5866.59
IMG_0931.JPG,5315139,4032,3024,1.3333,4032,3692.49,132.6,66.41,5848.91
IMG_0011-1.jpeg,210926,720,960,0.75,960,5200.0,115.88,68.91,5720.01
IMG_0011.jpeg,210926,720,960,0.75,960,5200.0,115.88,68.91,5720.01
IMG_0018.jpeg,219759,720,960,0.75,960,5172.1,124.91,53.28,5689.31
IMG_0047.jpeg,1331861,1536,2049,0.7496,2049,4842.55,127.84,48.34,5326.81
IMG_0013.jpeg,281697,720,960,0.75,960,4766.17,116.51,51.35,5242.79
IMG_0001.jpeg,255778,720,960,0.75,960,4717.24,140.75,50.81,5188.96
IMG_0038.jpeg,1456388,1536,2049,0.7496,2049,4603.21,131.16,53.7,5063.53
IMG_0049.jpeg,1359243,1536,2049,0.7496,2049,4563.74,119.96,49.93,5020.12
IMG_0040.jpeg,1395891,1536,2049,0.7496,2049,4522.36,132.17,58.03,4974.6
IMG_0032.jpeg,1330286,1536,2049,0.7496,2049,4494.54,145.54,57.56,4943.99
IMG_0926.JPG,4651757,4032,3024,1.3333,4032,3103.12,141.53,63.35,4915.35
IMG_9515.jpeg,2329598,4538,1536,2.9544,4538,3690.39,143.24,56.75,4871.32
IMG_4636.JPEG,1024607,2048,1536,1.3333,2048,3635.26,141.25,55.29,4798.54
IMG_0072.jpeg,1396861,2049,1536,1.334,2049,3627.5,108.58,52.96,4788.29
IMG_1583.JPEG,1558832,2364,1330,1.7774,2364,3574.91,126.68,51.64,4718.88
IMG_0003.jpeg,248923,720,960,0.75,960,4225.12,124.49,65.48,4647.63
IMG_6576.JPG,5581168,4032,3024,1.3333,4032,2920.87,137.75,67.72,4626.66
IMG_0052.JPEG,1425723,1330,2364,0.5626,2364,4186.15,90.41,63.45,4604.77
65946385690__73001705-83C7-46CA-9D7F-B207F7C8FDBC.jpeg,1244888,1536,2048,0.75,2048,4153.68,134.52,53.0,4569.05
IMG_0037.jpeg,1352964,1536,2049,0.7496,2049,4135.13,114.62,63.14,4548.64
IMG_4637.JPEG,997836,2048,1536,1.3333,2048,3373.5,139.18,56.68,4453.02
IMG_0046.jpeg,1069021,2049,1536,1.334,2049,3326.28,126.53,48.04,4390.68
IMG_9930.jpeg,1376709,2048,1536,1.3333,2048,3280.77,133.78,62.95,4330.61
IMG_0071.JPEG,1089576,2364,1330,1.7774,2364,3271.73,123.21,69.01,4318.69
IMG_0312.JPEG,1234627,1536,2048,0.75,2048,3922.18,147.82,58.59,4314.39
IMG_1367.JPEG,1095101,1330,2364,0.5626,2364,3880.99,123.72,47.18,4269.09
IMG_1442.JPEG,1431209,1330,2364,0.5626,2364,3806.94,118.32,63.01,4187.64
IMG_7425.JPEG,3876783,4032,2268,1.7778,4032,2527.25,126.92,58.7,4003.16
IMG_2018.JPG,869886,2048,1365,1.5004,2048,3022.33,105.5,57.17,3989.47
IMG_0034.jpeg,1300782,1536,2049,0.7496,2049,3556.04,137.63,58.67,3911.64
IMG_7319.JPEG,4848892,4032,2543,1.5855,4032,2448.98,121.67,58.21,3879.18
IMG_0313.JPEG,1180139,1536,2048,0.75,2048,3492.22,149.63,57.23,3841.45
IMG_2562.JPEG,984828,1536,2048,0.75,2048,3485.42,133.24,49.39,3833.96
IMG_0012.jpeg,237810,720,960,0.75,960,3484.45,117.71,54.7,3832.89
IMG_0026.jpeg,1325042,1536,2049,0.7496,2049,3481.74,137.9,55.13,3829.91
IMG_0072.JPG,6124170,4032,3024,1.3333,4032,2399.35,131.98,59.33,3800.57
IMG_0031.jpeg,1281804,1536,2049,0.7496,2049,3302.41,147.35,55.47,3632.65
IMG_0025.jpeg,185624,720,960,0.75,960,3217.23,153.65,68.53,3538.95
IMG_0167.JPEG,1402674,1330,2364,0.5626,2364,3187.08,125.35,47.99,3505.79
IMG_2561.JPEG,1017301,1536,2048,0.75,2048,3186.84,138.25,40.92,3505.53
IMG_0002.jpeg,222461,720,960,0.75,960,3161.98,130.41,44.37,3478.18
IMG_0932.JPG,4382490,4032,3024,1.3333,4032,2163.07,139.26,58.06,3426.31
IMG_9668.jpeg,1151153,1536,2048,0.75,2048,3114.65,114.45,63.57,3426.12
IMG_0935.JPG,4220619,4032,3024,1.3333,4032,2129.05,103.66,59.63,3372.42
IMG_0007.jpeg,175761,720,960,0.75,960,3050.42,155.35,31.4,3355.46
IMG_0020.jpeg,208090,720,960,0.75,960,2988.42,129.14,59.55,3287.26
IMG_0927.JPG,3910840,4032,3024,1.3333,4032,2058.16,135.77,69.56,3260.13
IMG_0930.JPG,4210673,4032,3024,1.3333,4032,2049.26,123.67,58.5,3246.03
IMG_0928.JPG,4002827,4032,3024,1.3333,4032,2033.17,133.14,61.71,3220.54
IMG_0929.JPG,4139947,4032,3024,1.3333,4032,2019.78,142.51,58.98,3199.33
IMG_0166.JPEG,1323239,1330,2364,0.5626,2364,2882.48,131.25,53.43,3170.73
IMG_0063.jpeg,1174695,1536,2049,0.7496,2049,2785.93,110.33,68.35,3064.52
IMG_9672.jpeg,1116146,2048,1536,1.3333,2048,2320.23,94.42,61.88,3062.71
IMG_4091.JPEG,1378657,1536,2048,0.75,2048,2777.29,119.81,57.22,3055.02
IMG_0067.JPEG,1035173,1330,2364,0.5626,2364,2776.67,122.17,72.84,3054.34
IMG_9504.jpeg,1306626,1536,2048,0.75,2048,2712.0,102.76,58.06,2983.2
IMG_9472.jpeg,973733,2048,1536,1.3333,2048,2258.21,110.07,49.46,2980.84
IMG_0006-1.jpeg,167300,720,960,0.75,960,2706.64,155.7,31.44,2977.3
IMG_0006.jpeg,167300,720,960,0.75,960,2706.64,155.7,31.44,2977.3
IMG_4607.JPEG,1336435,1536,2048,0.75,2048,2700.88,154.64,51.16,2970.97
IMG_0338.JPEG,1237416,2048,1536,1.3333,2048,2241.99,122.12,54.98,2959.43
IMG_0051.jpeg,893939,1708,2048,0.834,2048,2629.81,106.58,56.01,2892.79
IMG_0014.jpeg,149800,720,960,0.75,960,2589.06,121.45,50.64,2847.97
IMG_0333.JPEG,1057359,2048,1536,1.3333,2048,2132.23,118.7,59.03,2814.54
IMG_9691.jpeg,575062,1536,2048,0.75,2048,2534.47,159.3,39.45,2787.92
